,gross,net,nowcast_chain,nowcast_chain_0_2
2021-03-06,6370.0,6066.0,5308.973715709593,4365.490213295479
2021-03-07,5682.0,5315.0,5926.119192195819,4421.89506547347
2021-03-08,4955.0,4548.0,4721.170842982318,5043.063198605675
2021-03-09,7310.0,7063.0,11478.941820068543,8916.992204672637
2021-03-10,4351.0,4058.0,5613.7885669165635,3838.873856255319
2021-03-11,7149.0,6673.0,4954.46607945746,4821.078895897386
2021-03-12,9125.0,8557.0,11865.88546170762,8105.813727154788
2021-03-13,4205.0,3626.0,5164.066589652778,4927.268658106507
2021-03-14,6779.0,6526.0,7844.111901490965,6433.593052872651
2021-03-15,5330.0,5089.0,10394.909271641209,5984.02945210298
2021-03-16,5727.0,5293.0,12235.694220648465,5986.214425890027
2021-03-17,4429.0,3991.0,4846.936693756076,4753.002787144475
2021-03-18,6208.0,5948.0,4766.010221267304,3856.074824402353
2021-03-19,5331.0,4841.0,5337.638188918989,4522.04696418516
2021-03-20,8161.0,7671.0,9643.414561272033,6021.969118909433
2021-03-21,4360.0,3872.0,4905.276917007992,4155.967171477495
2021-03-22,4598.0,4182.0,4390.688698614052,3772.452318555633
2021-03-23,8348.0,7978.0,11931.429065458247,7117.60094779994
2021-03-24,4292.0,3934.0,4740.823800055198,3850.5445434051285
2021-03-25,6138.0,5603.0,5474.755752576588,4649.367579383656
2021-03-26,6784.0,6410.0,4924.59720532805,4780.35026890953
2021-03-27,5133.0,4502.0,4805.1341678340705,4037.97277383229
2021-03-28,4754.0,4427.0,4491.013314658104,3875.1404021592266
2021-03-29,4325.0,3606.0,4023.165956794798,3458.3919926642266
2021-03-30,5819.0,5161.0,4950.207274666174,3477.5110943370337
2021-03-31,4564.0,3976.0,4639.445990645875,3180.7440767859266
2021-04-01,5945.0,5344.0,8316.521316774375,8423.144914050614
2021-04-02,2591.0,1975.0,3293.3706983621482,2793.442327620938
2021-04-03,1207.0,615.0,2458.821437354542,2306.133808917086
2021-04-04,645.0,72.0,2354.3002788856384,2291.162499373207
2021-04-05,302.0,139.0,1029.1166370628084,1017.777772932712
2021-04-06,6772.0,6212.0,1452.982452051241,1478.6369010431915
2021-04-07,7256.0,6909.0,2765.8866201062797,2448.645903375783
2021-04-08,3528.0,3225.0,2239.4710628605308,2380.8350584074437
2021-04-09,3156.0,-4880.0,2274.953246215574,3351.9613814769523
2021-04-10,3975.0,3512.0,4824.060644205684,7883.747316401553
2021-04-11,1809.0,1065.0,2676.7278344745887,2256.199311589963
2021-04-12,4652.0,4233.0,5075.39227561353,5477.739646166042
2021-04-13,1796.0,1234.0,2089.599182065994,2891.186387222925
2021-04-14,3399.0,2898.0,2169.4942753411688,3007.264201876949
2021-04-15,2797.0,2566.0,2510.5227897100276,2851.872851576386
2021-04-16,3369.0,2835.0,2056.13895143606,1876.4293821015126
2021-04-17,928.0,587.0,1508.0435390555501,2133.2459917587066
